Ownership,Total Revenue (USD mm),Product Name,g2Link,Users,Industries,Market Segment,Description,Website,Ratings,Number Of Reviews,Discussions,Languages Supported,Seller,Company Website,Year Founded,HQ Location,Twitter,LinkedIn Page
NYSE: DNB,"$1,738",D&amp;B Hoovers,https://www.g2.com/products/dun-bradstreet-d-b-hoovers/reviews,"Account Executive, Business Development Representative","Computer Software, Information Technology and Services","43% Enterprise, 30% Mid-Market","D&B Hoovers is a sales and marketing intelligence platform.

D&B Hoovers is designed to deliver the advantages modern prospectors need to compete in an evolving environment:
· Capture ideal prospects
· Harness opportune moments
· Reach untapped customers

Backed by the Dun & Bradstreet Data Cloud, company and contact data remains the heart of D&B Hoovers. Now, with audience matching, Bombora intent, and revtech integrations, outreach essentials are at a prospector’s fingertips. D&B Hoovers and D&B Hoovers Audience Builder are tailored to accelerate new business, offering unique solutions for sales and marketing teams.

Capture ideal prospects
· 420M+ company profiles, with 37M+ corporate linkages matched only by D-U-N-S
· 220M+ verified contacts, each with email, title, and location
· 175+ targeting filters
· 1st-party data integration
· Audience matching and Identity Resolution, backed by AI and 1.2B+ Matchpoints
· Visualize Ideal Customer Profile and Total Addressable Market

Harness opportune moments
· Buyer intent – now powered by Bombora
· Web Visitor Intelligence
· AI-backed Propensity-to-Buy, including growth trajectory and purchasing patterns
· Real-time opportunity triggers
· Automated email notifications

Reach untapped customers
· Verified emails for every contact, plus mobile, direct dials, and social platforms
· CRM integrations, including Salesforce and Microsoft Dynamics 365
· Marketing integrations, including HubSpot and Marketo
· Buying HQ uncovers locations with decision-making power
· Call prep questions, competitive landscapes, and industry forecasts

D&B Hoovers was built to ease the burden on sales and marketing teams, powering faster, smarter, and more precise prospecting.",https://www.g2.com/external_clickthroughs/record?secure%5Bproduct_id%5D=379&secure%5Btoken%5D=dd52f5abe8d3c7aabced9358978b0d530fe8e709cea1a2c47f02584c94b12a99&secure%5Burl%5D=https%3A%2F%2Fwww.dnb.com%2Fproducts.html,4.0 out of 5 stars,503 reviews,https://www.g2.com/products/dun-bradstreet-d-b-hoovers/discuss,"Czech, Danish, German, English, Finnish, Croatian, Hungarian, Polish, Slovak, Slovenian, Serbian, Swedish, Chinese (Simplified), Chinese (Traditional)",Dun & Bradstreet,http://www.dnb.com,,"Short Hills, NJ","@DunBradstreet 21,456 Twitter followers",https://www.linkedin.com/company/2385/
,,UserGems,https://www.g2.com/products/usergems/reviews,"Account Executive, Commercial Account Executive","Computer Software, Information Technology and Services","82% Mid-Market, 11% Small-Business","UserGems helps revenue teams drive bigger pipeline and faster sales cycle by delivering prospects that are most likely to buy.  

Whenever your customers change their jobs, UserGems automatically surfaces them as new leads to your sales reps. This allows reps to be in front of the buyers at the right time, and before the competition is.

Leveraging machine learning, UserGems automatically identifies other buyers that match the profile of your best customers (e.g. ideal customer profile ICP, persona, and other key criteria). That means reps get a complete, up-to-date list of high-potential prospects without having to spends hours researching.",https://www.g2.com/external_clickthroughs/record?secure%5Bproduct_id%5D=110918&secure%5Btoken%5D=5d43a0ce304ecb48a0854f2014920330135f0e68393739a6c2c8d4093ec0c229&secure%5Burl%5D=https%3A%2F%2Fwww.usergems.com%2Fproducts%2Fchampion-tracking,4.6 out of 5 stars,85 reviews,https://www.g2.com/products/usergems/discuss,English,UserGems,https://www.usergems.com,2019,"San Francisco, CA",@usergems 239 Twitter followers,https://www.linkedin.com/company/usergems/
,,Similarweb Sales Intelligence,https://www.g2.com/products/similarweb-sales-intelligence/reviews,Account Executive,"Marketing and Advertising, Financial Services","45% Mid-Market, 33% Small-Business","Sell smarter with 360° digital insights on eCommerce, publisher, and advertiser prospects. With Similarweb’s unique traffic and engagement data, you get full visibility into every part of a prospect’s digital strategy and performance, enabling you to find new opportunities and craft pitches that win.

- Find prospects who match your ideal customer profile from Similarweb’s database of over 100M websites
- Strengthen the quality of your pipeline and prioritize outreach by adding more relevant data points to leads with Lead Enrichment
- Monitor your accounts to stay on top of new and upsell business opportunities with alerts
- Deep dive into your prospects digital performance and strategy to better understand how your solution can help
- Improve your client response with insights unique to your client, backed by trusted data
- Reach out directly to decision-makers with their direct contact information",https://www.g2.com/external_clickthroughs/record?secure%5Bproduct_id%5D=108741&secure%5Btoken%5D=b254c0a656f463109332efd6ccbf0c91badc7939ad2f3b8302b56e6584164558&secure%5Burl%5D=https%3A%2F%2Fwww.similarweb.com%2Fcorp%2Fsolution%2Fsales%2F,4.6 out of 5 stars,138 reviews,https://www.g2.com/products/similarweb-sales-intelligence/discuss,"English, French, Japanese",Similarweb,https://www.similarweb.com,,New York,"@SimilarWeb 37,605 Twitter followers",https://www.linkedin.com/company/429838/
,,SalesQL,https://www.g2.com/products/salesql/reviews,Recruiter,"Staffing and Recruiting, Information Technology and Services","67% Small-Business, 23% Mid-Market","Over 150,000 professionals in 189 countries use SalesQL for streamlining their sales and recruiting operations, automating prospecting, email outreach, and social touches. Our mission is to help them to create true relationships without the hassle of having to jump between apps, as SalesQL works directly in the web browser.",https://www.g2.com/external_clickthroughs/record?secure%5Bproduct_id%5D=148408&secure%5Btoken%5D=0a854a888719fc38637e9ae23eba9a4a93aa60e1466e8a4eedbd6bbfe575f097&secure%5Burl%5D=https%3A%2F%2Fsalesql.com%2Fhow-it-works,4.7 out of 5 stars,132 reviews,https://www.g2.com/products/salesql/discuss,English,SalesQL,https://salesql.com/,2018,N/A,@SalesQL 43 Twitter followers,https://www.linkedin.com/company/salesqldotcom/
,,LeadIQ,https://www.g2.com/products/leadiq/reviews,"Sales Development Representative, Account Executive","Computer Software, Information Technology and Services","63% Mid-Market, 28% Small-Business","The LeadIQ platform is built to help you prospect smarter and build pipeline faster. Find prospect data, track sales triggers, and personalize cold outreach all in one place. 

Sales prospecting has never been harder. Every day your prospects are bombarded by sellers with non-specific, un-tailored, generic messages. It's not that sales teams have forgotten how to sell...but it's been the only way to scale and grow as a company. 

At LeadIQ, we believe you can prospect smarter and build pipeline faster — by reaching the right people with tailored, personal messages at scale. 

Our prospecting platform allows you to find prospect data, track sales triggers, and personalize cold outreach all in one place. Leveraging our patented AI technology, we eliminate the frustrating, manual, and downright difficult parts of prospecting so you can focus on making prospecting personal again. Get more replies, book more meetings, and generate more pipeline through personalization at scale. 

Imagine the prospects.",https://www.g2.com/external_clickthroughs/record?secure%5Bproduct_id%5D=16466&secure%5Btoken%5D=5724602019b6684a2ef0771835d8dcee25b90fc035d205941338756de92c213e&secure%5Burl%5D=https%3A%2F%2Fleadiq.com%2Fpricing,4.3 out of 5 stars,471 reviews,https://www.g2.com/products/leadiq/discuss,English,LeadIQ,https://leadiq.com,2015,"Santa Clara, CA","@leadiq 2,756 Twitter followers",https://www.linkedin.com/company/6412574/
,,Visual Visitor Sales Intelligence,https://www.g2.com/products/visual-visitor-sales-intelligence/reviews,,"Marketing and Advertising, Construction","70% Mid-Market, 26% Small-Business","Powerful, Affordable, and Easy to Use Sales Intelligence Platform.

We Make B2B Sales Easier. Helping Sales and Marketing Teams sell more in less time.

Our Platform includes
- Buyer Intent Data
- B2B Contact Database with over 606 million contacts
- Anonymous Website Visitor Identification
- Email/Proposal Tracking

Benefits of our platform include:
- Helping your sales and marketing teams make first contact. 36% of sales go to the vendor that responds first.
- Reduce Prospecting time by as much as 80% We provide the data you need to reach that difficult prospect.
- Uncover Your Hidden Leads. We help you get more leads from the traffic you already have.
- Prospects not responding? We will give you insight into what is happening on the prospects side.

Founded in 2009, we have offices in Jacksonville, FL and Atlanta, GA. With over 2,220 customers and white label resellers, Visual Visitor is quickly becoming the platform of choice for growing companies.",https://www.g2.com/external_clickthroughs/record?secure%5Bproduct_id%5D=20157&secure%5Btoken%5D=5c9f65baaeb11d6d274b360ddb6a734b56575864383894aaf71406f458043cc8&secure%5Burl%5D=https%3A%2F%2Fwww.visualvisitor.com%2Fpricing%2F,4.8 out of 5 stars,53 reviews,https://support.visualvisitor.com/portal/en/kb/visual-visitor,English,VisualVisitor,http://www.visualvisitor.com,2009,"Alpharetta, Georgia",@Visual_Visitor 165 Twitter followers,https://www.linkedin.com/company/1668496/
,,Lead411,https://www.g2.com/products/lead411/reviews,"President, CEO","Information Technology and Services, Marketing and Advertising","62% Small-Business, 23% Mid-Market","Lead411 provides the most comprehensive and accurate information about contacts and companies available in the marketplace.   We currently have over 450M contacts, within 20M companies worldwide. Through targeted filters, and Growth Intent Data, customers are able to view complete contact data profiles and find growing companies that are more likely to be in a buying cycle for adding services/solutions.  Ask about Unlimited Data!  We also offer Buyer Intent Data powered by Bombora, so you can identify companies that are looking for solutions/services you provide based on topics, and then identify the decision makers you need to reach out to.

Our sales intelligence triggers are an easy way for you to filter for companies that make the most sense to reach out to.  

Sales Intelligence data points include:
Recently Funded Companies
New Company Location
IPO Announcement
Hiring Plans
Job Openings
New Employee Hire
New Executive Employee Hire
New Employee Promotion
Company Awards and More

Not only can you find the best opportunities in Lead411, but you can also reach out directly from our platform using our Reach Email/SMS Engagement Automation Feature.  With Reach, you can set up automated email and SMS templates, cadences and campaigns so once you find your targeted audience, reaching out is as simple as a few clicks.  No more exporting lists to a third-party platform, you can keep notes and monitor the progress of your efforts with ease.

Lead411 believes in helping companies start the sales process with a targeted conversation.  Through accurate contact data fueled by innovative data intelligence, we give you an advantage over other solutions.  Discover contact data from companies that are in a buying position, save time through filtered sales data points, and reach out directly from our platform to get the results you need to ensure a healthy pipeline.",https://www.g2.com/external_clickthroughs/record?secure%5Bproduct_id%5D=3336&secure%5Btoken%5D=1d94caa65ba34981fe0ccbc42ecbe9042c67b4856c1f3b7457cbd2f25d3edb7e&secure%5Burl%5D=https%3A%2F%2Fwww.lead411.com%2F,4.5 out of 5 stars,393 reviews,https://www.g2.com/products/lead411/discuss,English,Lead411,http://www.lead411.com,2001,"Boulder, Colorado","@lead411 1,384 Twitter followers",https://www.linkedin.com/company/335997/
,,BizKonnect,https://www.g2.com/products/bizkonnect/reviews,,"Information Technology and Services, Computer Software","59% Small-Business, 30% Mid-Market","Leverage BizKonnect - an innovative cloud based sales intelligence platform supported by virtual sales assistants.
We help you reach the decision maker who has pain points you are solving and take you there with your known business connections.
We enable you to execute Account Based Marketing at scale by using our Actionable Org Chart solution.
The customized Org Chart solution includes different parameters of the target company which helps you achieve success in your account planning initiatives.",https://www.g2.com/external_clickthroughs/record?secure%5Bproduct_id%5D=75828&secure%5Btoken%5D=b605e8f8c7796c9106f4197c844010cb5c786ef8dc415659f6c65184ffab2c28&secure%5Burl%5D=http%3A%2F%2Fwww.bizkonnect.com%2Fproduct.html,4.7 out of 5 stars,46 reviews,https://www.g2.com/products/bizkonnect/discuss,,BizKonnect,http://www.bizkonnect.com,2012,"Pune, MH",@KonnectBiz 25 Twitter followers,https://www.linkedin.com/company/2897281/
NASDAQ:TTGT,$148,Priority Engine,https://www.g2.com/products/priority-engine/reviews,"Sales Development Representative, Account Executive","Information Technology and Services, Computer Software","47% Enterprise, 42% Mid-Market","TechTarget's Priority Engine is a SaaS-based platform that delivers direct, real-time access to the most active accounts and prospects ranked by their level of purchase intent and engagement to help enterprise B2B technology organizations improve ABM performance, increase sales productivity and maximize demand generation success. The platform provides exclusive third-party intent insights on the topical interests of accounts, recency and relevancy of activity, vendor considerations and installed technology.",https://www.g2.com/external_clickthroughs/record?secure%5Bproduct_id%5D=69787&secure%5Btoken%5D=797b84a91008e76eb2314c7f302535305cd8709d0d7e96abee8139d81a971400&secure%5Burl%5D=https%3A%2F%2Fwww.techtarget.com%2Fproducts%2Fpriority-engine%2F,4.3 out of 5 stars,318 reviews,https://www.g2.com/products/priority-engine/discuss,,TechTarget,https://www.techtarget.com,1999,"Newton, MA","@TechTarget 26,495 Twitter followers",https://www.linkedin.com/company/166286/
,,Lusha,https://www.g2.com/products/lusha/reviews,"Sales Development Representative, SDR","Information Technology and Services, Computer Software","45% Mid-Market, 41% Small-Business","Lusha is a go-to-market intelligence platform, designed for sales, marketing and recruitment teams. Lusha’s fresh, dynamic, and high quality data and insights help cut through the noise and reach the right people at the right time. 

Lusha offers an easy set up without the hassle of lengthy onboarding processes. With our simple Salesforce and API integrations, Lusha users can maintain a fresh database and ensure ongoing, automated enrichment of their CRM.

Lusha stays on top of evolving privacy and security regulations and is fully compliant with GDPR and CCPA, and is the only sales intelligence solution to be accredited under ISO 
27701, the highest international privacy standard in the world.",https://www.g2.com/external_clickthroughs/record?secure%5Bproduct_id%5D=24735&secure%5Btoken%5D=108179abefa543acdbe188ffa539d2b3e5bb772015e6ca84f315ac052a062f90&secure%5Burl%5D=https%3A%2F%2Fwww.lusha.co%2Fchrome-extension,4.3 out of 5 stars,"1,345 reviews",https://www.g2.com/products/lusha/discuss,English,Lusha,https://www.lusha.com/,2016,"Boston, Massachusetts",,https://www.linkedin.com/company/lushadata/
,,DealSignal,https://www.g2.com/products/dealsignal/reviews,,"Marketing and Advertising, Computer Software","69% Small-Business, 31% Mid-Market","DealSignal provides fresh, accurate, verified B2B data that helps sales & marketing teams maximize their efficiency, performance and results. Precisely target the right buyers, personalize your outreach, and drive more conversions.

The DealSignal Data Platform provides access to 600M+ global companies and contacts with over 100 data points, including detailed account profiles, contact profiles, verified emails, corporate & direct phones, social URLs, and mailing addresses – all with 97%+ accuracy and a 100% data guarantee.

Revenue teams turn to DealSignal when they need to: 

•	Improve CRM data quality
•	Enrich inbound leads automatically
•	Build precise decision-maker lists 
•	Find in-market buyers with intent
•	Easily capture leads across the web
•	Improve ABM effectiveness",https://www.g2.com/external_clickthroughs/record?secure%5Bproduct_id%5D=31759&secure%5Btoken%5D=bccec1d816fef247d353e45f6c7fdd0019ee4a40d944be52a81ee9ad43f1d617&secure%5Burl%5D=https%3A%2F%2Fwww.dealsignal.com%2Fplatform%2F,4.8 out of 5 stars,29 reviews,https://www.g2.com/products/dealsignal/discuss,,DealSignal,http://www.dealsignal.com,2014,"San Francisco, CA",@DealSignal 471 Twitter followers,https://www.linkedin.com/company/3676687/
,,Autobound,https://www.g2.com/products/autobound/reviews,"Account Executive, Business Development Representative","Computer Software, Information Technology and Services","60% Mid-Market, 34% Small-Business","With 320B emails sent daily, email inboxes are absolutely flooded. Rising above the noise is now a must-have for anyone who wants a shot at hitting quota.

Autobound generates bespoke, personalized emails instantly using AI, that would otherwise take an expert BDR 20-30 minutes to write.

Our AI scans through millions of prospect insights to find the most relevant ones based on your value proposition. Then in a matter of seconds, our email-writing AI creates highly relevant, personalized messaging that's proven to increase response rates.

We're putting an end to manual prospecting. Our tech surfaces real-time insights on both the individual and company levels from thousands of sources across the internet. Individual-level insights could be work/education history, recent promotions, and persona-specific pain points and initiatives. Company-level insights might include recent news events, product launches, funding rounds, hiring trends, competitive technologies used, and more.

Autobound integrates directly Gmail, Salesloft and Outreach.

Sign up today at www.autobound.ai/sign-up-free",https://www.g2.com/external_clickthroughs/record?secure%5Bproduct_id%5D=100991&secure%5Btoken%5D=1111ed777f009c0cfd72416d58eeea4613b7cb47d0257483f5e043f9c9356b0e&secure%5Burl%5D=https%3A%2F%2Fwww.autobound.ai%2Fproduct-overview,4.9 out of 5 stars,98 reviews,https://www.g2.com/products/autobound/discuss,English,Autobound,https://www.autobound.ai/,2018,"San Francisco, CA",@autobound_ai 434 Twitter followers,https://www.linkedin.com/company/autobound
